unknown,DESC:manner How did serfdom develop in and then leave Russia ?
what,ENTY:cremat What films featured the character Popeye Doyle ?
unknown,DESC:manner How can I find a list of celebrities ' real names ?
what,ENTY:animal What fowl grabs the spotlight after the Chinese Year of the Monkey ?
what,ABBR:exp What is the full form of .com ?
what,HUM:ind What contemptible scoundrel stole the cork from my lunch ?
what,HUM:gr What team did baseball 's St. Louis Browns become ?
what,HUM:title What is the oldest profession ?
what,DESC:def What are liver enzymes ?
unknown,HUM:ind Name the scar-faced bounty hunter of The Old West .
when,NUM:date When was Ozzy Osbourne born ?
unknown,DESC:reason Why do heavier objects travel downhill faster ?
who,HUM:ind Who was The Pride of the Yankees ?
who,HUM:ind Who killed Gandhi ?
what,ENTY:event What is considered the costliest disaster the insurance industry has ever faced ?
what,LOC:state What sprawling U.S. state boasts the most airports ?
what,DESC:desc What did the only repealed amendment to the U.S. Constitution deal with ?
unknown,NUM:count How many Jews were executed in concentration camps during WWII ?
what,DESC:def What is `` Nine Inch Nails '' ?
what,DESC:def What is an annotated bibliography ?
what,NUM:date What is the date of Boxing Day ?
what,ENTY:other What articles of clothing are tokens in Monopoly ?
unknown,HUM:ind Name 11 famous martyrs .
what,DESC:desc What 's the Olympic motto ?
what,DESC:desc What is the origin of the name ` Scarlett ' ?
what,ENTY:letter What 's the second-most-used vowel in English ?
who,HUM:ind Who was the inventor of silly putty ?
what,LOC:other What is the highest waterfall in the United States ?
unknown,ENTY:other Name a golf course in Myrtle Beach .
unknown,LOC:state Which two states enclose Chesapeake Bay ?
what,ABBR:exp What does the abbreviation AIDS stand for ?
what,ENTY:other What does a spermologer collect ?
unknown,NUM:count How many points make up a perfect fivepin bowling score ?
unknown,HUM:gr Which company that manufactures video-game hardware sells the `` super system '' ?
unknown,NUM:count How many Community Chest cards are there in Monopoly ?
what,DESC:desc What do Mormons believe ?
when,NUM:date When did the neanderthal man live ?
what,ENTY:religion In what religion was Isis the nature goddess ?
unknown,LOC:other Where do the adventures of `` The Swiss Family Robinson '' take place ?
